Group,Customer_Segment,Sales_Before,Sales_After,Customer_Satisfaction_Before,Customer_Satisfaction_After,Purchase_Made,Sales_Growth,Satisfaction_Growth,Engagement_Score,ROI_index
Treatment,High Value,109.2668218,,99.23269996,100,Yes,-109.2668218,0.76730004,24.41585,-100
,Medium Value,203.8462203,243.7668889,39.33142355,,Yes,39.9206686,-39.33142355,10.03954,19.58371783
,Medium Value,236.3506389,278.0196706,70.28976369,73.61401738,Yes,41.6690317,3.32425369,17.46954,17.63017519
Control,,,177.5542372,,83.77448967,No,177.5542372,83.77448967,0,0
Control,,228.0030106,,92.36207576,97.45070766,Yes,-228.0030106,5.0886319,22.7669,-100
Control,,145.7984305,,68.48512943,62.93528172,Yes,-145.7984305,-5.54984771,17.03643,-100
,Medium Value,169.7758798,255.3552668,79.39828893,100,Yes,85.579387,20.60171107,19.65559,50.40727051
Treatment,Low Value,201.2568828,297.5883433,,76,No,96.3314605,76,0.6,47.86492723
Treatment,Medium Value,233.9696099,366.828606,67.70828315,78.12757291,Yes,132.8589961,10.41928976,16.84999,56.78472352
Treatment,,236.5959032,377.3724479,62.02675645,40.83754741,No,140.7765447,-21.18920904,15.48642,59.50083784
Treatment,,189.7336858,304.5056465,55.38874554,62.8034623,No,114.7719607,7.41471676,13.8933,60.49108265
Control,Low Value,242.918748,296.4995523,50.37416819,,No,53.5808043,-50.37416819,12.6898,22.05708894
Treatment,High Value,189.2961911,293.1901573,86.76226901,100,Yes,103.8939662,13.23773099,21.42294,54.88434057
Treatment,,172.7132674,273.7866087,,,Yes,101.0733413,0,0.6,58.52089004
Control,High Value,80.10698641,91.62472506,87.64806925,,Yes,11.51773865,-87.64806925,21.63554,14.37794525
Treatment,High Value,213.8298753,327.9300814,81.47563847,92.56125036,No,114.1002061,11.08561189,20.15415,53.36027341
Control,,203.9345757,245.7546974,,64.12566701,Yes,41.8201217,64.12566701,0.6,20.50663629
Treatment,High Value,240.1381373,376.4099447,40.97433211,34.95949368,No,136.2718074,-6.01483843,10.43384,56.74725761
,Medium Value,174.9501536,206.4838081,70.52375772,,No,31.5336545,-70.52375772,17.5257,18.02436514
Treatment,,223.1097728,349.1185063,46.70961393,34.23482517,Yes,126.0087335,-12.47478876,11.81031,56.47835678
Treatment,Medium Value,193.1849558,310.1992937,76.52557803,79.21906067,Yes,117.0143379,2.69348264,18.96614,60.57114407
Control,Medium Value,237.8556966,279.7706519,71.98760622,60.49396664,No,41.9149553,-11.49363958,17.87703,17.62201028
Control,Low Value,204.3447983,,43.05136037,38.86874795,No,-204.3447983,-4.18261242,10.93233,-100
Control,Medium Value,,243.7668889,68.30290405,,Yes,243.7668889,-68.30290405,0,0
,Low Value,194.1414391,223.4838316,55.2596888,56.39527596,No,29.3423925,1.13558716,13.86233,15.11392552
,Medium Value,230.7219904,278.4939762,90.2296487,,Yes,47.7719858,-90.2296487,22.25512,20.70543242
Control,Low Value,172.6411686,206.6024287,57.27935911,70.71121374,No,33.9612601,13.43185463,14.34705,19.6715884
Control,,187.0948094,225.0310791,,86.77075783,Yes,37.9362697,86.77075783,0.6,20.27649501
,Medium Value,,276.1127971,,76.75085454,No,276.1127971,76.75085454,0,0
,Low Value,254.8027871,,49.88117874,54.74526634,,-254.8027871,4.8640876,12.57148,-100
Treatment,,170.090802,269.2614163,68.2345281,76.60069053,No,99.1706143,8.36616243,16.97629,58.30451332
Control,Medium Value,193.8522598,235.2442074,,100,Yes,41.3919476,100,0.6,21.35231627
Treatment,Medium Value,204.4142284,329.5882833,63.8904388,70.36518793,No,125.1740549,6.47474913,15.93371,61.23549025
Treatment,Low Value,,332.3742015,51.439854,71.69786548,Yes,332.3742015,20.25801148,0,0
Treatment,High Value,242.4301351,379.3891333,68.74292967,75.71080432,No,136.9589982,6.96787465,17.0983,56.49421354
Treatment,High Value,280.1138148,445.858002,,73.93880145,No,165.7441872,73.93880145,0.6,59.17030094
Control,High Value,329.8606829,393.6729084,70.24902619,88.77209225,Yes,63.8122255,18.52306606,17.45977,19.34520505
Treatment,Low Value,159.4987195,,49.39160962,,No,-159.4987195,-49.39160962,12.45399,-100
Control,High Value,,297.430261,,94.16914812,No,297.430261,94.16914812,0,0
,Low Value,199.3834355,309.0761408,,,No,109.6927053,0,0.6,55.01595708
Treatment,Medium Value,202.8169269,319.2517321,,87.33936835,No,116.4348052,87.33936835,0.6,57.40882035
Treatment,Medium Value,230.2657075,361.6433033,,,Yes,131.3775958,0,0.6,57.05478129
Control,High Value,207.4444234,249.6567867,,78.97114632,No,42.2123633,78.97114632,0.6,20.34875781
Treatment,Low Value,186.9691652,304.250513,,,Yes,117.2813478,0,0.6,62.72764157
Control,Medium Value,135.1482577,161.1212564,71.23891843,,Yes,25.9729987,-71.23891843,17.69734,19.21815282
Treatment,Low Value,158.7265942,259.9867841,59.8572122,75.04613479,Yes,101.2601899,15.18892259,14.96573,63.79535226
Control,Low Value,235.1512487,275.9639846,53.83807658,50.53983281,Yes,40.8127359,-3.29824377,13.52114,17.35595117
Treatment,Medium Value,249.4366118,388.3369746,,79.66908696,No,138.9003628,79.66908696,0.6,55.68563564
Control,Low Value,189.4750359,225.7613841,69.93064954,76,Yes,36.2863482,6.06935046,17.38336,19.1509916
Control,Medium Value,,216.1739951,55.92144718,59.89879898,No,216.1739951,3.9773518,0,0
Treatment,,,374.7606793,54.46811691,,Yes,374.7606793,-54.46811691,0,0
Control,Medium Value,265.09955,320.1342861,64.61195627,,Yes,55.0347361,-64.61195627,16.10687,20.76002622
Treatment,,160.5607727,256.7264118,58.54494453,,Yes,96.1656391,-58.54494453,14.65079,59.89360756
,Medium Value,131.4805279,202.0638941,75.99044608,73.03348243,Yes,70.5833662,-2.95696365,18.83771,53.68351293
Treatment,Low Value,202.1712461,310.5297633,61.05205377,56.76579782,No,108.3585172,-4.28625595,15.25249,53.59739295
Treatment,Medium Value,252.2249447,388.1278624,,61.65659973,Yes,135.9029177,61.65659973,0.6,53.88163247
Treatment,Medium Value,227.6106187,358.5653166,50.97302497,57.5893517,No,130.9546979,6.61632673,12.83353,57.53452921
Treatment,High Value,306.2107165,463.2741823,82.05345673,70.83106903,Yes,157.0634658,-11.2223877,20.29283,51.29260909
Treatment,High Value,306.1105693,465.5451553,,97.29332153,Yes,159.434586,97.29332153,0.6,52.08398598
Treatment,High Value,197.1545206,307.7811151,91.79068418,87.87154083,Yes,110.6265945,-3.91914335,22.62976,56.11161954
,Low Value,191.9083087,303.1485654,62.07250217,,Yes,111.2402567,-62.07250217,15.4974,57.96531555
Treatment,,160.469251,251.8805312,49.31684562,47.2644137,Yes,91.4112802,-2.05243192,12.43604,56.96498216
Treatment,,150.7670916,239.5131756,78.53509915,100,No,88.746084,21.46490085,19.44842,58.86303374
Control,Medium Value,152.5235456,176.2311182,,,Yes,23.7075726,0,0.6,15.54354936
Control,Medium Value,230.6858976,265.7187958,76.37909997,79.15259285,No,35.0328982,2.77349288,18.93098,15.18640652
Treatment,Medium Value,,341.8719553,75.94589282,92.84789984,Yes,341.8719553,16.90200702,0,0
Treatment,Low Value,,,66.50122013,51.28299744,Yes,0,-15.21822269,0,0
Treatment,,324.5249588,509.8624151,57.30177397,68.42506975,No,185.3374563,11.12329578,14.35243,57.1103859
,Medium Value,,337.6925398,84.49841413,91.19405697,Yes,337.6925398,6.69564284,0,0
Treatment,High Value,,287.8134633,93.41854482,73.92144865,Yes,287.8134633,-19.49709617,0,0
Treatment,Medium Value,263.1431143,409.9707788,71.44030035,72.24065481,Yes,146.8276645,0.80035446,17.74567,55.79764642
Treatment,Medium Value,162.5573431,261.3689884,69.89900239,82.9680338,No,98.8116453,13.06903141,17.37576,60.78571624
Treatment,,290.7317003,459.3329791,71.56058127,79.33711623,No,168.6012788,7.77653496,17.77454,57.99205199
Control,Low Value,92.79724429,109.0818768,53.31087548,,No,16.28463251,-53.31087548,13.39461,17.54861649
Treatment,,181.7072431,278.0682759,66.17145717,61.77044572,Yes,96.3610328,-4.40101145,16.48115,53.03092555
Control,Medium Value,233.0635881,281.1982446,72.57037972,89.10679227,Yes,48.1346565,16.53641255,18.01689,20.65301444
Treatment,Medium Value,,403.0532056,,68.76589257,Yes,403.0532056,68.76589257,0,0
,High Value,198.5964175,280.4496871,78.5490678,68.38842234,,81.8532696,-10.16064546,19.45178,41.21588427
Control,,158.274214,187.7773205,70.99898662,98.1458977,,29.5031065,27.14691108,17.63976,18.64050104
Treatment,Low Value,189.9751684,289.6766785,61.58866173,72.27446841,No,99.7015101,10.68580668,15.38128,52.48133792
Control,Medium Value,,353.2302383,64.7279644,88.56011692,Yes,353.2302383,23.83215252,0,0
Treatment,,107.5167867,169.3448133,44.03411012,47.42791735,No,61.8280266,3.39380723,11.16819,57.50546356
Treatment,Low Value,172.9838825,278.2455652,48.24390997,57.36999579,No,105.2616827,9.12608582,12.17854,60.85057242
Control,,218.9919549,273.6186659,49.33814322,66.11109156,,54.626711,16.77294834,12.44115,24.94462001
,High Value,183.0385173,289.190777,100,100,,106.1522597,0,24.6,57.99449278
Control,Low Value,,166.7050331,46.87095094,,Yes,166.7050331,-46.87095094,0,0
Treatment,High Value,217.3711454,,100,100,,-217.3711454,0,24.6,-100
Control,Medium Value,209.9688218,242.2282953,58.10238068,68.52570135,No,32.2594735,10.42332067,14.54457,15.36393509
,Low Value,175.9511721,206.9070242,,56.46589147,No,30.9558521,56.46589147,0.6,17.5934333
Treatment,Medium Value,,444.5534045,72.10321901,77.63181866,No,444.5534045,5.52859965,0,0
Treatment,High Value,,372.0768245,100,96.71219703,No,372.0768245,-3.28780297,0,0
Control,Medium Value,218.7268667,,70.46054729,,Yes,-218.7268667,-70.46054729,17.51053,-100
Treatment,Medium Value,,,56.92302961,65.33218806,No,0,8.40915845,0,0
Treatment,Low Value,197.9631428,310.0148369,53.72760812,32.90688785,,112.0516941,-20.82072027,13.49463,56.60230107
Treatment,,172.5640439,266.4449987,82.75386053,69.82160623,No,93.8809548,-12.9322543,20.46093,54.40354356
Control,Medium Value,,221.9213488,76.13094528,59.35356294,,221.9213488,-16.77738234,0,0
Control,,,162.2374616,93.28146718,79.42952329,No,162.2374616,-13.85194389,0,0
Control,Low Value,274.5924635,328.7935324,54.31608719,59.03539478,,54.2010689,4.71930759,13.63586,19.73873143
Control,High Value,,327.0486442,100,,No,327.0486442,-100,0,0
,High Value,,112.7306835,94.90874243,100,,112.7306835,5.09125757,0,0
Control,Medium Value,265.313166,319.6654365,63.87197953,54.56099478,,54.3522705,-9.31098475,15.92928,20.48608115
Control,,,,54.10763211,45.28556487,Yes,0,-8.82206724,0,0
Control,Medium Value,232.6783461,279.1512328,81.77233859,85.86059695,No,46.4728867,4.08825836,20.22536,19.97301746
Control,High Value,,108.8784866,83.77613528,98.54042647,Yes,108.8784866,14.76429119,0,0
Treatment,Low Value,164.1219011,265.4970032,56.56796022,65.1689729,Yes,101.3751021,8.60101268,14.17631,61.7681744
Control,High Value,303.8260911,359.5862353,80.41938129,67.77779879,Yes,55.7601442,-12.6415825,19.90065,18.35265168
Treatment,,290.9461588,466.9408444,,100,Yes,175.9946856,100,0.6,60.49046543
Treatment,Low Value,197.0511424,311.3391023,53.59453079,57.98897876,No,114.2879599,4.39444797,13.46269,57.99913591
Treatment,Low Value,219.0361935,339.2468236,60.49654683,55.03503732,No,120.2106301,-5.46150951,15.11917,54.88162855
Control,Medium Value,135.9393589,154.6988244,84.65882285,78.32402355,No,18.7594655,-6.3347993,20.91812,13.79987787
Control,Medium Value,223.5011739,269.7194872,75.22736542,76.35429608,No,46.2183133,1.12693066,18.65457,20.6792262
Control,High Value,262.6095124,314.2027768,84.82005517,,Yes,51.5932644,-84.82005517,20.95681,19.64638064
Control,Low Value,300.4804412,366.7769827,52.20041071,61.99341516,No,66.2965415,9.79300445,13.1281,22.0635131
Treatment,Low Value,155.8056998,234.9463014,35.84196332,47.14056988,Yes,79.1406016,11.29860656,9.20207,50.79442004
,Medium Value,204.8807189,251.7787018,,69.99317462,Yes,46.8979829,69.99317462,0.6,22.89038381
Control,High Value,,284.508289,99.60617858,100,Yes,284.508289,0.39382142,0,0
Control,High Value,257.838659,303.9227622,74.67419966,84.21624213,Yes,46.0841032,9.54204247,18.52181,17.87323258
Control,Medium Value,,301.6209483,68.26781976,54.33604907,Yes,301.6209483,-13.93177069,0,0
Control,Low Value,231.6581843,285.2209547,53.32403097,60.64185334,No,53.5627704,7.31782237,13.39777,23.1214669
Treatment,Medium Value,248.7527435,398.1542709,76.86537293,98.40703167,Yes,149.4015274,21.54165874,19.04769,60.06025312
Control,Medium Value,138.1645338,171.669912,70.86807549,80.31139411,,33.5053782,9.44331862,17.60834,24.25034651
Treatment,Medium Value,74.64838735,129.4038069,,65.78886498,No,54.75541955,65.78886498,0.6,73.35110843
,,171.3168794,,,75.44572183,Yes,-171.3168794,75.44572183,0.6,-100
Treatment,Low Value,184.0360426,286.0754197,40.66853879,,,102.0393771,-40.66853879,10.36045,55.44532237
,Medium Value,167.4882113,210.0141639,64.68715059,62.07767316,No,42.5259526,-2.60947743,16.12492,25.3904154
Control,,165.5618866,185.0992727,,51.80904216,Yes,19.5373861,51.80904216,0.6,11.80065443
Treatment,Medium Value,,296.4553419,74.05861342,,Yes,296.4553419,-74.05861342,0,0
Treatment,High Value,250.6309906,,94.76939848,100,,-250.6309906,5.23060152,23.34466,-100
,,140.5724876,218.8725792,70.24902619,60.34494459,No,78.3000916,-9.9040816,17.45977,55.70086504
Control,High Value,221.3881186,267.7988683,72.42039174,,Yes,46.4107497,-72.42039174,17.98089,20.96352324
,,203.7011712,321.6469991,60.19777123,80.25654133,Yes,117.9458279,20.0587701,15.04747,57.901399
Control,Medium Value,240.3148319,288.2318834,79.68672645,90.39952986,Yes,47.9170515,10.71280341,19.72481,19.93928178
Control,Medium Value,260.0272093,312.4596684,70.14801096,59.44586218,No,52.4324591,-10.70214878,17.43552,20.16422021
,Low Value,255.2622707,404.4251587,50.04966963,46.61697684,No,149.162888,-3.43269279,12.61192,58.43514891
Treatment,High Value,177.608607,,,79.71659473,Yes,-177.608607,79.71659473,0.6,-100
Control,Low Value,89.23390237,104.600019,53.86694564,,No,15.36611663,-53.86694564,13.52807,17.2200433
Control,Low Value,171.6731463,200.3716652,57.67248968,66.79891709,Yes,28.6985189,9.12642741,14.4414,16.71695284
,Medium Value,125.5147129,194.8558454,69.38829649,63.52511711,Yes,69.3411325,-5.86317938,17.25319,55.24542175
Treatment,High Value,,570.6314939,94.35264991,,Yes,570.6314939,-94.35264991,0,0
Treatment,Medium Value,,,54.42813253,67.35536936,No,0,12.92723683,0,0
Control,Low Value,,253.8840797,,57.05571591,No,253.8840797,57.05571591,0,0
Control,,,302.0251055,70.2917281,,No,302.0251055,-70.2917281,0,0
Control,,240.9584676,296.7531444,76.61458652,74.82630927,No,55.7946768,-1.78827725,18.9875,23.15530861
Control,Medium Value,320.7389165,382.5826107,74.02291528,70.00729049,,61.8436942,-4.01562479,18.3655,19.28163095
Control,High Value,216.0051496,253.7310439,89.06893311,100,Yes,37.7258943,10.93106689,21.97654,17.46527542
Control,High Value,173.1218161,209.5211498,75.29173877,,No,36.3993337,-75.29173877,18.67002,21.02527256
Treatment,Medium Value,153.7506571,,69.76797745,85.39459316,Yes,-153.7506571,15.62661571,17.34431,-100
Control,,219.0018429,260.2715771,50.0890597,53.14968615,No,41.2697342,3.06062645,12.62137,18.84446891
Control,Medium Value,192.8487067,233.0167675,,60.56060525,Yes,40.1680608,60.56060525,0.6,20.82879449
Control,Low Value,146.430564,184.9362752,50.83908375,50.62144804,Yes,38.5057112,-0.21763571,12.80138,26.29622542
,Low Value,205.1190681,310.0329661,,73.92144865,Yes,104.913898,73.92144865,0.6,51.14780355
Control,,238.6068201,278.3087365,59.81050325,,No,39.7019164,-59.81050325,14.95452,16.63905348
Control,Low Value,,,56.59653975,59.1687424,Yes,0,2.57220265,0,0
,Low Value,216.8829731,335.1860514,54.964099,56.1513659,No,118.3030783,1.1872669,13.79138,54.54696448
Control,Medium Value,,250.991974,67.66496643,60.16230405,No,250.991974,-7.50266238,0,0
Control,Medium Value,178.1641872,222.4258834,49.6999638,,No,44.2616962,-49.6999638,12.52799,24.84320609
Control,Medium Value,245.2357876,299.8658691,70.35990844,56.50653868,,54.6300815,-13.85336976,17.48638,22.27655353
Control,Low Value,137.6199015,162.0554973,57.83707787,74.15855214,No,24.4355958,16.32147427,14.4809,17.7558591
Control,,162.8603692,204.429243,100,100,No,41.5688738,0,24.6,25.52424141
Treatment,Low Value,237.0343075,,61.00438922,73.92144865,Yes,-237.0343075,12.91705943,15.24105,-100
Treatment,High Value,,315.6073255,73.88877326,55.50635558,Yes,315.6073255,-18.38241768,0,0
Treatment,Medium Value,287.7420648,451.2605226,63.78280617,68.73121434,Yes,163.5184578,4.94840817,15.90787,56.82813805
Control,High Value,271.513585,328.0195084,83.63152119,96.80895909,Yes,56.5059234,13.1774379,20.67157,20.81145347
,Medium Value,176.8463752,216.8319042,69.26013467,79.35013473,Yes,39.985529,10.09000006,17.22243,22.61031868
,Medium Value,229.8405909,280.0023971,70.31135738,65.11550465,No,50.1618062,-5.19585273,17.47473,21.82460722
Treatment,High Value,366.2756109,576.680026,100,100,No,210.4044151,0,24.6,57.44428754
Control,,246.891495,292.293602,73.20787232,96.4048627,No,45.402107,23.19699038,18.16989,18.38949819
Control,,261.9492177,307.6373966,100,,No,45.6881789,-100,24.6,17.44161685
Treatment,Medium Value,167.2261876,265.816654,62.45751056,78.04242354,Yes,98.5904664,15.58491298,15.5898,58.95635595
Control,,,315.8680285,51.25591172,,,315.8680285,-51.25591172,0,0
Treatment,,245.0883872,387.7427178,50.30321325,53.459366,Yes,142.6543306,3.15615275,12.67277,58.20525902
Treatment,Medium Value,177.1577177,271.6685597,68.34606852,76.34946955,Yes,94.510842,8.00340103,17.00306,53.34841927
Treatment,Medium Value,300.4812366,473.6535304,55.28594614,54.31452433,Yes,173.1722938,-0.97142181,13.86863,57.63164974
Control,High Value,254.4694878,,100,100,No,-254.4694878,0,24.6,-100
Control,Low Value,148.2808867,175.213296,54.50363374,65.45166869,Yes,26.9324093,10.94803495,13.68087,18.16310241
,High Value,197.6478295,244.2295575,74.33006209,90.85603388,Yes,46.581728,16.52597179,18.43921,23.56804429
Control,,252.6052698,309.0804629,59.72087433,76.95487854,No,56.4751931,17.23400421,14.93301,22.35709221
Control,,,199.2119624,,70.45285037,,199.2119624,70.45285037,0,0
Control,,162.0094021,191.1913719,98.68717175,100,Yes,29.1819698,1.31282825,24.28492,18.0125162
Control,Medium Value,185.8607692,221.7184709,78.69238583,100,No,35.8577017,21.30761417,19.48617,19.29277591
,Low Value,167.1480594,260.8645638,54.56779619,52.55969553,No,93.7165044,-2.00810066,13.69627,56.06795839
,High Value,186.1390707,219.8573796,96.39984577,100,Yes,33.7183089,3.60015423,23.73596,18.11457894
Treatment,Low Value,161.0700759,252.625596,56.05010068,50.5839881,No,91.5555201,-5.46611258,14.05202,56.84204194
Control,Low Value,225.3181,266.8515008,53.60198977,58.57578832,No,41.5334008,4.97379855,13.46448,18.43322876
Control,,,254.5833626,52.0292007,62.21247656,No,254.5833626,10.18327586,0,0
Control,High Value,,,88.76195473,100,Yes,0,11.23804527,0,0
Treatment,,186.1792218,284.3045455,68.90518556,63.91127016,,98.1253237,-4.9939154,17.13724,52.70476627
Treatment,Low Value,170.6040136,270.7152907,53.745413,,No,100.1112771,-53.745413,13.4989,58.68049349
Treatment,Low Value,178.3087458,,56.93952695,68.95513403,No,-178.3087458,12.01560708,14.26549,-100
,Low Value,185.5104521,284.1156569,,46.31907522,No,98.6052048,46.31907522,0.6,53.15344968
Control,Medium Value,,296.0139104,60.07745918,59.19843495,,296.0139104,-0.87902423,0,0
Treatment,,208.7322301,328.1842154,71.23060769,87.79107616,No,119.4519853,16.56046847,17.69535,57.22737942
Control,High Value,233.228939,282.307733,92.44283126,78.09002843,No,49.078794,-14.35280283,22.78628,21.04318367
Control,Medium Value,279.0067097,334.7849338,67.95951742,63.39739174,Yes,55.7782241,-4.56212568,16.91028,19.99171424
Treatment,High Value,,510.9779508,,100,No,510.9779508,100,0,0
Treatment,High Value,158.2345595,248.206199,80.99486951,63.28331419,,89.9716395,-17.71155532,20.03877,56.8596644
Treatment,,,217.0971043,96.34016376,79.88402332,,217.0971043,-16.45614044,0,0
Treatment,High Value,202.0065923,327.645668,100,100,Yes,125.6390757,0,24.6,62.19553247
Treatment,High Value,279.6280079,433.511833,93.14271808,100,No,153.8838251,6.85728192,22.95425,55.03162085
Treatment,Low Value,203.7147568,315.0339247,,,,111.3191679,0,0.6,54.64462646
Treatment,,247.0335776,381.7992651,74.84260594,,Yes,134.7656875,-74.84260594,18.56223,54.55359098
Treatment,Low Value,,255.5088707,52.01440504,64.86835254,No,255.5088707,12.8539475,0,0
Control,High Value,113.6504002,134.6236598,80.55064422,88.04462331,Yes,20.9732596,7.49397909,19.93215,18.45418895
Treatment,Medium Value,140.3728988,212.9116486,,73.35117261,,72.5387498,73.35117261,0.6,51.6757511
Treatment,Low Value,,323.466669,57.99859062,,No,323.466669,-57.99859062,0,0
Control,,231.3185408,279.3951354,53.99749912,63.23994679,No,48.0765946,9.24244767,13.5594,20.7837186
Treatment,,122.8669419,192.5005838,95.20121365,73.92144865,No,69.6336419,-21.279765,23.44829,56.67402543
Control,Low Value,251.4461974,303.1193853,70.47928772,,Yes,51.6731879,-70.47928772,17.51503,20.55039545
Control,,199.6328925,243.2234831,62.21443777,62.58560246,Yes,43.5905906,0.37116469,15.53147,21.83537495
,Low Value,179.451884,271.5120974,47.890044,49.10096531,No,92.0602134,1.21092131,12.09361,51.30077843
Control,Low Value,153.8009713,185.2405621,53.99339475,63.76195145,Yes,31.4395908,9.7685567,13.55841,20.44173748
Control,Low Value,252.8273715,311.4337486,56.5067017,,Yes,58.6063771,-56.5067017,14.16161,23.18039252
Control,High Value,284.1010755,336.3134052,78.01517624,94.70306797,No,52.2123297,16.68789173,19.32364,18.37808238
Control,High Value,254.3295942,321.0890203,95.90861814,,Yes,66.7594261,-95.90861814,23.61807,26.2491773
Treatment,Low Value,145.6388541,223.9316372,47.80650421,73.92144865,Yes,78.2927831,26.11494444,12.07356,53.75817022
Control,,318.9637493,383.4007194,98.72969437,100,No,64.4369701,1.27030563,24.29513,20.20197287
Treatment,High Value,,373.2310591,100,100,Yes,373.2310591,0,0,0
Control,Medium Value,224.8161424,260.0529754,69.58202887,78.1262658,Yes,35.236833,8.54423693,17.29969,15.67362229
Control,Low Value,180.747233,211.6278306,56.2440651,60.6113779,No,30.8805976,4.3673128,14.09858,17.08496284
Control,High Value,,219.9860663,91.70312961,97.09213872,No,219.9860663,5.38900911,0,0
Control,,249.7809874,297.1202317,,71.00424115,Yes,47.3392443,71.00424115,0.6,18.95230089
Treatment,Low Value,212.5087394,324.1479397,49.39767608,51.78204064,No,111.6392003,2.38436456,12.45544,52.53393372
Treatment,Medium Value,184.9454049,296.9606159,76.00672396,,No,112.015211,-76.00672396,18.84161,60.56663644
Control,Low Value,198.3556088,238.8617209,55.00571256,70.24889286,,40.5061121,15.2431803,13.80137,20.42095625
Control,Medium Value,203.1619871,241.9566626,69.2087804,91.56001397,No,38.7946755,22.35123357,17.21011,19.09544007
Treatment,,225.2978274,366.7257482,61.71268687,74.82817402,Yes,141.4279208,13.11548715,15.41104,62.77376148
Control,Low Value,203.8462203,243.7668889,57.71402462,71.56332214,Yes,39.9206686,13.84929752,14.45137,19.58371783
Control,Low Value,190.0216285,221.4385156,,76,Yes,31.4168871,76,0.6,16.53332168
Control,Low Value,,,45.72204898,45.08495923,No,0,-0.63708975,0,0
